epoch,number_of_actions,win
1,64,False
2,64,False
3,64,False
4,64,False
5,64,False
6,64,False
7,64,False
8,64,False
9,64,False
10,64,False
11,64,False
12,64,False
13,64,False
14,64,False
15,64,False
16,64,False
17,64,False
18,64,False
19,64,False
20,64,False
21,64,False
22,64,False
23,64,False
24,64,False
25,64,False
26,64,False
27,64,False
28,64,False
29,64,False
30,59,True
31,64,False
32,64,False
33,64,False
34,64,False
35,64,False
36,64,False
37,64,False
38,64,False
39,64,False
40,64,False
41,64,False
42,63,True
43,64,False
44,64,False
45,64,False
46,64,False
47,64,False
48,64,False
49,64,False
50,54,True
51,64,False
52,64,False
53,64,False
54,64,False
55,64,False
56,64,False
57,64,False
58,64,False
59,64,False
60,64,False
61,64,False
62,64,False
63,64,False
64,64,False
65,64,False
66,64,False
67,64,False
68,64,False
69,64,False
70,64,False
71,64,False
72,64,False
73,64,False
74,64,False
75,43,True
76,64,False
77,64,False
78,64,False
79,52,True
80,61,True
81,64,False
82,64,False
83,64,False
84,64,False
85,64,False
86,64,False
87,64,False
88,64,False
89,64,False
90,64,False
91,64,False
92,36,True
93,64,False
94,64,False
95,64,False
96,64,False
97,64,False
98,64,False
99,64,False
100,64,False
