epoch,number_of_actions,win
1,64,False
2,64,False
3,64,False
4,64,False
5,64,False
6,64,False
7,64,False
8,64,False
9,64,False
10,64,False
11,64,False
12,64,False
13,64,False
14,64,False
15,64,False
16,64,False
17,64,False
18,64,False
19,64,False
20,64,False
21,64,False
22,64,False
23,64,False
24,64,False
25,54,True
26,64,False
27,64,False
28,64,False
29,55,True
30,64,False
31,64,False
32,64,False
33,64,False
34,64,False
35,64,False
36,64,False
37,64,False
38,64,False
39,60,True
40,56,True
41,64,False
42,64,False
43,64,False
44,57,True
45,53,True
46,64,False
47,38,True
48,44,True
49,39,True
50,53,True
51,64,False
52,64,False
53,59,True
54,64,False
55,40,True
56,64,False
57,64,False
58,64,False
59,64,False
60,64,False
61,64,False
62,29,True
63,50,True
64,59,True
65,52,True
66,48,True
67,44,True
68,39,True
69,63,True
70,64,False
71,16,True
72,60,True
73,31,True
74,64,True
75,64,False
76,32,True
77,42,True
78,57,True
79,25,True
80,55,True
81,35,True
82,32,True
83,49,True
84,49,True
85,48,True
86,45,True
87,41,True
88,28,True
89,17,True
90,51,True
91,28,True
92,34,True
93,28,True
94,62,True
95,64,False
96,24,True
97,39,True
98,27,True
99,62,True
100,26,True
